time(ms),error signal,control signal,feedback signal
1153,0,125,125
1156,1.42109e-14,125,125
1159,0,125,125
1163,1.42109e-14,125,125
1166,0,125,125
1169,1.42109e-14,125,125
1173,0,125,125
1176,1.42109e-14,125,125
1179,0,125,125
1183,1.42109e-14,125,125
1186,0,125,125
1189,1.42109e-14,125,125
1193,0,125,125
1196,1.42109e-14,125,125
1199,0,125,125
1203,1.42109e-14,125,125
1206,0,125,125
1209,1.42109e-14,125,125
1213,0,125,125
1216,1.42109e-14,125,125
1219,0,125,125
1223,1.42109e-14,125,125
1226,0,125,125
1229,1.42109e-14,125,125
1233,0,125,125
1236,1.42109e-14,125,125
1239,0,125,125
1243,1.42109e-14,125,125
1246,0,125,125
1249,1.42109e-14,125,125
1253,0,125,125
1256,1.42109e-14,125,125
1259,0,125,125
1263,1.42109e-14,125,125
1266,0,125,125
1269,1.42109e-14,125,125
1273,0,125,125
1276,1.42109e-14,125,125
1279,0,125,125
1283,1.42109e-14,125,125
1286,0,125,125
1289,1.42109e-14,125,125
1293,0,125,125
1296,1.42109e-14,125,125
1299,0,125,125
1303,1.42109e-14,125,125
1306,0,125,125
1309,1.42109e-14,125,125
1313,0,125,125
1316,1.42109e-14,125,125
1319,0,125,125
1323,1.42109e-14,125,125
1326,0,125,125
1329,1.42109e-14,125,125
1333,0,125,125
1336,1.42109e-14,125,125
1339,0,125,125
1343,1.42109e-14,125,125
1346,0,125,125
1349,1.42109e-14,125,125
1353,0,125,125
1356,1.42109e-14,125,125
1359,0,125,125
1363,1.42109e-14,125,125
1366,0,125,125
1369,1.42109e-14,125,125
1373,0,125,125
1376,1.42109e-14,125,125
1379,0,125,125
1383,1.42109e-14,125,125
1386,0,125,125
1389,1.42109e-14,125,125
1393,0,125,125
1396,1.42109e-14,125,125
1399,0,125,125
1403,1.42109e-14,125,125
1406,0,125,125
1409,1.42109e-14,125,125
1413,0,125,125
1416,1.42109e-14,125,125
1419,0,125,125
1423,1.42109e-14,125,125
1426,0,125,125
1429,1.42109e-14,125,125
1433,50,170.5,170.5
1436,4.5,144.05,144.05
1439,30.95,169.205,169.205
1443,5.795,155.85,155.85
1446,19.1495,169.608,169.608
1449,5.39195,162.971,162.971
1453,12.0289,170.562,170.562
1456,4.43806,167.339,167.339
1459,7.66114,171.571,171.571
1463,3.42895,170.06,170.06
1466,4.93958,172.449,172.449
1469,2.55133,171.781,171.781
1473,3.21888,173.147,173.147
1476,1.85268,172.883,172.883
1479,2.1166,173.677,173.677
1483,1.32327,173.598,173.598
1486,1.40229,174.066,174.066
1489,0.934191,174.065,174.065
1493,0.93479,174.346,174.346
1496,0.653994,174.374,174.374
1499,0.626274,174.545,174.545
1503,0.455024,174.579,174.579
1506,0.421266,174.685,174.685
1509,0.315141,174.716,174.716
1513,0.284274,174.782,174.782
1516,0.217512,174.808,174.808
1519,0.192316,174.85,174.85
1523,0.149739,174.87,174.87
1526,0.130363,174.897,174.897
1529,0.10288,174.911,174.911
1533,0.0885059,174.929,174.929
1536,0.0705783,174.94,174.94
1539,0.0601614,174.952,174.952
1543,0.0483631,174.959,174.959
1546,0.0409331,174.967,174.967
1549,0.0331112,174.972,174.972
1553,0.027871,174.977,174.977
1556,0.0226538,174.981,174.981
1559,0.018988,174.985,174.985
1563,0.0154911,174.987,174.987
1566,0.0129419,174.989,174.989
1569,0.0105888,174.991,174.991
1573,0.00882402,174.993,174.993
1576,0.00723571,174.994,174.994
1579,0.00601798,174.995,174.995
1583,0.00494322,174.996,174.996
1586,0.00410511,174.997,174.997
1589,0.00337644,174.997,174.997
1593,0.00280071,174.998,174.998
1596,0.00230594,174.998,174.998
1599,0.00191102,174.998,174.998
1603,0.00157466,174.999,174.999
1606,0.00130408,174.999,174.999
1609,0.00107521,174.999,174.999
1613,0.000889968,174.999,174.999
1616,0.000734121,174.999,174.999
1619,0.000607393,174.999,174.999
1623,0.000501212,175,175
1626,0.000414557,175,175
1629,0.000342183,175,175
1633,0.000282952,175,175
1636,0.000233605,175,175
1639,0.000193132,175,175
1643,0.000159476,175,175
1646,0.000131827,175,175
1649,0.000108868,175,175
1653,8.99829e-05,175,175
1656,7.43193e-05,175,175
1659,6.14217e-05,175,175
1663,5.07338e-05,175,175
1666,4.19264e-05,175,175
1669,3.46329e-05,175,175
1673,2.86191e-05,175,175
1676,2.36416e-05,175,175
1679,1.95356e-05,175,175
1683,1.61386e-05,175,175
1686,1.33352e-05,175,175
1689,1.10167e-05,175,175
1693,9.10281e-06,175,175
1696,7.52027e-06,175,175
1699,6.21371e-06,175,175
1703,5.13353e-06,175,175
1706,4.24158e-06,175,175
1709,3.50428e-06,175,175
1713,2.89538e-06,175,175
1716,2.3921e-06,175,175
1719,1.97644e-06,175,175
1723,1.63291e-06,175,175
1726,1.34915e-06,175,175
1729,1.11466e-06,175,175
1733,9.20957e-07,175,175
1736,7.60891e-07,175,175
1739,6.28664e-07,175,175
1743,5.19401e-07,175,175
1746,4.29138e-07,175,175
1749,3.54554e-07,175,175
1753,2.92938e-07,175,175
1756,2.42027e-07,175,175
1759,1.99966e-07,175,175
1763,1.65212e-07,175,175
1766,1.36501e-07,175,175
1769,1.12778e-07,175,175
1773,9.31782e-08,175,175
1776,7.69843e-08,175,175
1779,6.36053e-08,175,175
1783,5.25511e-08,175,175
1786,4.34183e-08,175,175
1789,3.58725e-08,175,175
1793,2.96383e-08,175,175
1796,2.44873e-08,175,175
1799,2.02317e-08,175,175
1803,1.67156e-08,175,175
1806,1.38105e-08,175,175
1809,1.14104e-08,175,175
1813,9.42734e-09,175,175
1817,7.78897e-09,175,175
1820,6.43533e-09,175,175
1823,5.31691e-09,175,175
1827,4.39289e-09,175,175
1830,3.62942e-09,175,175
1833,2.99869e-09,175,175
1837,2.47752e-09,175,175
1840,2.04696e-09,175,175
1843,1.69121e-09,175,175
1847,1.39732e-09,175,175
1850,1.15446e-09,175,175
1853,9.53833e-10,175,175
1857,7.88049e-10,175,175
1860,6.51113e-10,175,175
1863,5.37938e-10,175,175
1867,4.44459e-10,175,175
1870,3.6718e-10,175,175
1873,3.03402e-10,175,175
1877,2.50623e-10,175,175
1880,2.07081e-10,175,175
1883,1.7107e-10,175,175
1887,1.4137e-10,175,175
1890,1.16785e-10,175,175
1893,9.65201e-11,175,175
1897,7.96945e-11,175,175
1900,6.59099e-11,175,175
1903,5.43992e-11,175,175
1907,4.49631e-11,175,175
1910,3.71188e-11,175,175
1913,3.0667e-11,175,175
1917,2.53522e-11,175,175
1920,2.09468e-11,175,175
1923,1.73088e-11,175,175
1927,1.43245e-11,175,175
1930,1.1795e-11,175,175
1933,9.77707e-12,175,175
1937,8.04334e-12,175,175
1940,6.65068e-12,175,175
1943,5.54223e-12,175,175
1947,4.51905e-12,175,175
1950,3.78009e-12,175,175
1954,3.06954e-12,175,175
1957,2.58638e-12,175,175
1960,2.07478e-12,175,175
1964,1.79057e-12,175,175
