time(ms),error signal,control signal,feedback signal
1890,5.68434e-14,255,255
1894,5.68434e-14,255,255
1898,5.68434e-14,255,255
1902,5.68434e-14,255,255
1906,5.68434e-14,255,255
1910,5.68434e-14,255,255
1914,5.68434e-14,255,255
1918,5.68434e-14,255,255
1922,5.68434e-14,255,255
1926,5.68434e-14,255,255
1930,5.68434e-14,255,255
1934,5.68434e-14,255,255
1938,5.68434e-14,255,255
1942,5.68434e-14,255,255
1946,5.68434e-14,255,255
1950,5.68434e-14,255,255
1954,5.68434e-14,255,255
1958,5.68434e-14,255,255
1962,5.68434e-14,255,255
1966,5.68434e-14,255,255
1970,5.68434e-14,255,255
1974,5.68434e-14,255,255
1978,5.68434e-14,255,255
1982,5.68434e-14,255,255
1986,5.68434e-14,255,255
1990,5.68434e-14,255,255
1994,5.68434e-14,255,255
1998,5.68434e-14,255,255
2002,5.68434e-14,255,255
2006,5.68434e-14,255,255
2010,5.68434e-14,255,255
2014,5.68434e-14,255,255
2018,5.68434e-14,255,255
2022,5.68434e-14,255,255
2026,5.68434e-14,255,255
2030,5.68434e-14,255,255
2034,5.68434e-14,255,255
2038,5.68434e-14,255,255
2042,5.68434e-14,255,255
2046,5.68434e-14,255,255
2050,5.68434e-14,255,255
2054,5.68434e-14,255,255
2058,5.68434e-14,255,255
2062,5.68434e-14,255,255
2066,5.68434e-14,255,255
2070,5.68434e-14,255,255
2074,5.68434e-14,255,255
2078,5.68434e-14,255,255
2082,5.68434e-14,255,255
2086,5.68434e-14,255,255
2090,5.68434e-14,255,255
2094,5.68434e-14,255,255
2098,5.68434e-14,255,255
2102,5.68434e-14,255,255
2106,5.68434e-14,255,255
2110,5.68434e-14,255,255
2114,5.68434e-14,255,255
2118,5.68434e-14,255,255
2121,5.68434e-14,255,255
2125,5.68434e-14,255,255
2129,5.68434e-14,255,255
2133,5.68434e-14,255,255
2137,5.68434e-14,255,255
2141,5.68434e-14,255,255
2145,5.68434e-14,255,255
2149,5.68434e-14,255,255
2153,5.68434e-14,255,255
2157,5.68434e-14,255,255
2161,5.68434e-14,255,255
2165,5.68434e-14,255,255
2169,5.68434e-14,255,255
2173,5.68434e-14,255,255
2177,5.68434e-14,255,255
2181,5.68434e-14,255,255
2185,5.68434e-14,255,255
2189,5.68434e-14,255,255
2193,5.68434e-14,255,255
2197,5.68434e-14,255,255
2201,5.68434e-14,255,255
2205,5.68434e-14,255,255
2209,5.68434e-14,255,255
2213,5.68434e-14,255,255
2217,5.68434e-14,255,255
2220,5.68434e-14,255,255
2224,5.68434e-14,255,255
2228,5.68434e-14,255,255
2232,5.68434e-14,255,255
2236,5.68434e-14,255,255
2240,5.68434e-14,255,255
